current_date,sale_id,product_id,name,price
 14-02-2025,1,P005,Mobile Phone Case,15
 14-02-2025,2,P001,Wireless Headphones,100
 14-02-2025,3,P001,Wireless Headphones,100
 14-02-2025,4,P006,Wireless Mouse,30
 14-02-2025,5,P006,Wireless Mouse,30
 14-02-2025,6,P003,Bluetooth Speaker,50
 14-02-2025,7,P004,USB Flash Drive,20
 14-02-2025,8,P007,Laptop Stand,40
 14-02-2025,9,P005,Mobile Phone Case,15
 14-02-2025,10,P006,Wireless Mouse,30
 14-02-2025,11,P004,USB Flash Drive,20
 14-02-2025,12,P006,Wireless Mouse,30
 14-02-2025,13,P007,Laptop Stand,40
 14-02-2025,14,P004,USB Flash Drive,20
 14-02-2025,15,P005,Mobile Phone Case,15
 14-02-2025,16,P010,External Hard Drive,100
 14-02-2025,17,P010,External Hard Drive,100
 14-02-2025,18,P004,USB Flash Drive,20
 14-02-2025,19,P009,Smartphone,600
 14-02-2025,20,P001,Wireless Headphones,100
 14-02-2025,21,P008,HDMI Cable,15
 14-02-2025,22,P007,Laptop Stand,40
 14-02-2025,23,P007,Laptop Stand,40
 14-02-2025,24,P003,Bluetooth Speaker,50
 14-02-2025,25,P007,Laptop Stand,40
 14-02-2025,26,P003,Bluetooth Speaker,50
 14-02-2025,27,P002,Laptop Backpack,60
 14-02-2025,28,P001,Wireless Headphones,100
 14-02-2025,29,P004,USB Flash Drive,20
 14-02-2025,30,P006,Wireless Mouse,30
 14-02-2025,31,P002,Laptop Backpack,60
 14-02-2025,32,P003,Bluetooth Speaker,50
 14-02-2025,33,P008,HDMI Cable,15
 14-02-2025,34,P004,USB Flash Drive,20
 14-02-2025,35,P009,Smartphone,600
 14-02-2025,36,P001,Wireless Headphones,100
 14-02-2025,37,P003,Bluetooth Speaker,50
 14-02-2025,38,P006,Wireless Mouse,30
 14-02-2025,39,P008,HDMI Cable,15
 14-02-2025,40,P004,USB Flash Drive,20
 14-02-2025,41,P009,Smartphone,600
 14-02-2025,42,P008,HDMI Cable,15
 14-02-2025,43,P006,Wireless Mouse,30
 14-02-2025,44,P005,Mobile Phone Case,15
 14-02-2025,45,P005,Mobile Phone Case,15
 14-02-2025,46,P001,Wireless Headphones,100
 14-02-2025,47,P002,Laptop Backpack,60
 14-02-2025,48,P005,Mobile Phone Case,15
 14-02-2025,49,P002,Laptop Backpack,60
 14-02-2025,50,P009,Smartphone,600
 14-02-2025,51,P002,Laptop Backpack,60
 14-02-2025,52,P001,Wireless Headphones,100
 14-02-2025,53,P006,Wireless Mouse,30
 14-02-2025,54,P008,HDMI Cable,15
 14-02-2025,55,P006,Wireless Mouse,30
 14-02-2025,56,P010,External Hard Drive,100
 14-02-2025,57,P002,Laptop Backpack,60
 14-02-2025,58,P008,HDMI Cable,15
 14-02-2025,59,P002,Laptop Backpack,60
 14-02-2025,60,P001,Wireless Headphones,100
 14-02-2025,61,P008,HDMI Cable,15
 14-02-2025,62,P008,HDMI Cable,15
 14-02-2025,63,P006,Wireless Mouse,30
 14-02-2025,64,P006,Wireless Mouse,30
 14-02-2025,65,P002,Laptop Backpack,60
 14-02-2025,66,P004,USB Flash Drive,20
 14-02-2025,67,P005,Mobile Phone Case,15
 14-02-2025,68,P001,Wireless Headphones,100
 14-02-2025,69,P010,External Hard Drive,100
 14-02-2025,70,P001,Wireless Headphones,100
 14-02-2025,71,P003,Bluetooth Speaker,50
 14-02-2025,72,P001,Wireless Headphones,100
 14-02-2025,73,P003,Bluetooth Speaker,50
 14-02-2025,74,P010,External Hard Drive,100
 14-02-2025,75,P008,HDMI Cable,15
 14-02-2025,76,P004,USB Flash Drive,20
 14-02-2025,77,P006,Wireless Mouse,30
 14-02-2025,78,P005,Mobile Phone Case,15
 14-02-2025,79,P001,Wireless Headphones,100
 14-02-2025,80,P009,Smartphone,600
 14-02-2025,81,P009,Smartphone,600
 14-02-2025,82,P010,External Hard Drive,100
 14-02-2025,83,P008,HDMI Cable,15
 14-02-2025,84,P006,Wireless Mouse,30
 14-02-2025,85,P004,USB Flash Drive,20
 14-02-2025,86,P002,Laptop Backpack,60
